xyzid,SMILES,solvent,exp. abs. energy[eV],b3lyp cal. abs. energy[eV],b3lyp delta[eV],wb97 cal. abs. energy[eV],wb97 delta[eV],wb97x cal. abs. energy[eV],wb97x delta[eV],wpbeh cal. abs. energy[eV],wpbeh delta,pbe0 cal. abs. energy[eV],pbe0 delta[eV],camb3lyp cal. abs. energy[eV],camb3lyp delta[eV]
0, N#CC(=C1OC(C(=C1C#N)C=CC1=C(Br)C(=CC=C2N(C)c3c(C2(C)C)cccc3)CC(C1)C(C)(C)C)(C)C)C#N,"n,n-dimethylformamide",1.471,2.045,0.574,1.882,0.411,2.048,0.577,2.073,0.602,2.039,0.568,2.002,0.531
1, COC(=O)c1c(ccc2c1nc(c1ccccc1)c(n2)c1ccccc1)C(=O)OC,"n,n-dimethylformamide",3.493,3.355,-0.138,3.631,0.138,3.928,0.435,4.051,0.558,3.511,0.018,4.028,0.535
2, COC(=O)c1c(ccc2c1nc1c3ccccc3c3c(c1n2)cccc3)C(=O)OC,"n,n-dimethylformamide",3.069,4.088,1.019,4.497,1.428,4.665,1.596,4.798,1.729,4.269,1.2,4.762,1.693
3, COC(=O)c1cc2nc3c(nc2cc1C(=O)OC)c1ccccc1c1c3cccc1,"n,n-dimethylformamide",3.084,3.992,0.908,4.365,1.281,4.641,1.557,4.762,1.678,4.184,1.1,4.725,1.641
4, COC(=O)c1cc2nc3n(CC)c4c(c3nc2cc1C(=O)OC)cccc4,"n,n-dimethylformamide",3.024,4.244,1.22,4.485,1.461,4.828,1.804,4.978,1.954,4.437,1.413,4.954,1.93
5, COC(=O)c1ccc2c(c1C(=O)OC)nc1c(n2)c2c(n1CC)cccc2,"n,n-dimethylformamide",3.054,4.725,1.671,4.653,1.599,5.002,1.948,5.146,2.092,4.882,1.828,5.146,2.092
6, COc1c(O)ccc2c1C(=O)OC2,"n,n-dimethylformamide",2.572,6.153,3.581,5.897,3.325,6.393,3.821,6.575,4.003,6.323,3.751,6.635,4.063
7, COc1c2cc(OC)cc3c2c2c(c1OC)cc(cc2c(c3OC)OC)OC,"n,n-dimethylformamide",3.107,5.05,1.943,5.026,1.919,5.339,2.232,5.471,2.364,5.194,2.087,5.483,2.376
8, COc1ccc2c(c1)c1oc(=O)c3c(c1CC2)c(C#N)c1n(c3=N)[nH]c(c1)c1ccccc1,"n,n-dimethylformamide",2.897,3.715,0.818,3.503,0.606,4.834,1.937,4.99,2.093,3.246,0.349,3.889,0.992
9, COc1ccc2c(c1)cc1c(n2)nc2c(c1)C(=O)CC(C2)(C)C,"n,n-dimethylformamide",3.046,4.263,1.217,4.473,1.427,4.828,1.782,4.962,1.916,4.446,1.4,4.951,1.905
